Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST,Netznutzung,Energielieferungkosten,Abgaben an das Gemeinwesen,Förderabgaben (KEV)
Solothurn,H2,2018,Standardprodukt,23.72,12.01,7.3224,1.0,2.3
Uri,H5,2021,Standardprodukt,19.93,9.723333,6.9092,1.0,2.3
Solothurn,H6,2021,Standardprodukt,16.77,6.38104,6.9077997,1.0,2.3
Nidwalden,H6,2022,Standardprodukt,15.66,6.2228,6.144,1.0,2.3
Uri,H2,2019,Standardprodukt,25.65,14.58,7.7696,1.0,2.3
Uri,H1,2020,Standardprodukt,28.58,17.46,7.82,1.0,2.3
Solothurn,H7,2018,Standardprodukt,18.96,7.1951923,6.9275,1.0,2.3
Solothurn,H5,2020,Standardprodukt,20.05,7.9834285,8.146,1.0,2.3
Nidwalden,H2,2019,Standardprodukt,21.32,11.1376,6.8752,1.0,2.3
Graubünden,C6,2018,Standardprodukt,18.1,6.9752665,7.822467,1.0,2.3
Nidwalden,C2,2019,Standardprodukt,17.21,6.8824887,7.0348387,1.0,2.3
Uri,H4,2021,Standardprodukt,22.89,12.332222,7.259333,1.0,2.3
Uri,H5,2022,Standardprodukt,19.93,9.723333,6.9092,1.0,2.3
Uri,H2,2018,Standardprodukt,26.01,14.56,8.1504,1.0,2.3
Graubünden,C4,2022,Standardprodukt,19.68,8.984,7.4,1.0,2.3
Solothurn,H1,2018,Günstigstes Produkt,25.85,14.17,8.351541,1.0,2.3
Solothurn,H7,2020,Standardprodukt,19.45,7.506923,8.357307,1.0,2.3
Solothurn,C2,2022,Günstigstes Produkt,20.84,9.16,8.35,1.0,2.3
Nidwalden,C5,2022,Standardprodukt,13.39,4.5891333,5.5,1.0,2.3
Nidwalden,C7,2019,Standardprodukt,14.21,4.0080767,6.9,1.0,2.3
Nidwalden,C3,2021,Standardprodukt,15.25,6.150889,5.8,1.0,2.3
Bern,C2,2022,Günstigstes Produkt,20.81,9.16,8.35,1.0,2.3
Bern,C2,2023,Günstigstes Produkt,21.11,9.46,8.35,1.0,2.3
Graubünden,H8,2018,Standardprodukt,20.8,9.42,7.5203333,1.0,2.3
Nidwalden,C4,2022,Standardprodukt,14.7,5.904333,5.5,1.0,2.3
Graubünden,H4,2018,Standardprodukt,21.33,10.553333,7.52,1.0,2.3
Uri,C2,2020,Günstigstes Produkt,21.15,10.478333,7.3676,1.0,2.3
Nidwalden,C3,2019,Standardprodukt,16.23,6.030889,6.9,1.0,2.3
Nidwalden,H8,2019,Standardprodukt,18.01,7.8160887,6.892039,1.0,2.3
Nidwalden,C7,2018,Standardprodukt,14.29,4.088077,6.9,1.0,2.3
Nidwalden,C6,2023,Standardprodukt,13.73,4.9324,5.5,1.0,2.3
Nidwalden,C1,2020,Standardprodukt,18.21,8.007167,6.897552,1.0,2.3
Solothurn,H6,2018,Standardprodukt,16.51,6.10431,5.71292,1.0,2.3
Nidwalden,C7,2021,Standardprodukt,12.77,3.6688614,5.8,1.0,2.3
Jura,C2,2022,Günstigstes Produkt,20.81,9.16,8.35,1.0,2.3
Uri,H6,2020,Standardprodukt,17.18,6.914,6.97376,1.0,2.3
Wallis,H1,2019,Standardprodukt,21.92,11.09,7.8,1.0,2.3
Nidwalden,C5,2019,Standardprodukt,15.0,4.7988167,6.9,1.0,2.3
Graubünden,C5,2018,Standardprodukt,19.27,8.0012,7.5837665,1.0,2.3
Nidwalden,C5,2021,Standardprodukt,13.55,4.453133,5.8,1.0,2.3
Uri,H7,2022,Günstigstes Produkt,17.6,8.486923,5.813231,1.0,2.3
Uri,H7,2021,Günstigstes Produkt,17.6,8.486923,5.813231,1.0,2.3
Nidwalden,C4,2021,Standardprodukt,14.6,5.496333,5.8,1.0,2.3
Jura,C2,2023,Günstigstes Produkt,21.11,9.46,8.35,1.0,2.3
Uri,H6,2022,Günstigstes Produkt,15.85,6.818,5.73376,1.0,2.3
Uri,H6,2021,Günstigstes Produkt,15.85,6.818,5.73376,1.0,2.3
Solothurn,C3,2022,Günstigstes Produkt,20.37,8.648889,8.34075,1.0,2.3
